PWSID,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl
MA2328000,WESTBOROUGH WATER DEPARTMENT,21,348,True,True,5.8,7.5,3,19.8,False
MA2332000,WESTMINSTER DEPARTMENT OF PUBLIC WORKS,4,116,False,False,,,0,10.5,False
MA2343000,WINCHENDON WATER DEPARTMENT,5,116,False,False,,,0,10.5,False
MA2348000,"WORCESTER DPWP, WATER SUPPLY DIVISION",5,112,True,False,,,1,10.5,False
MA3007000,AMESBURY DPW  WATER DIV.,4,91,False,False,,,0,10.5,False
MA3009000,ANDOVER WATER DEPT,5,116,True,False,,,1,10.5,False
MA3010000,ARLINGTON WATER DEPT. (MWRA),5,116,False,False,,,0,10.5,False
MA3014000,Ashland Water & Sewer Dept.,2,58,True,False,,,1,10.5,False
MA3023000,BEDFORD WATER DEPT.,4,116,False,False,,,0,10.5,False
MA3023002,HANSCOM AFB,9,232,False,False,,,0,10.5,False
MA3026000,BELMONT WATER DEPT. (MWRA),5,116,False,False,,,0,10.5,False
MA3030000,BEVERLY WATER DEPT,4,116,True,False,,,2,10.5,False
MA3031000,BILLERICA WATER WORKS,4,116,True,True,5.5,,5,14.0,False
MA3035000,BOSTON WATER AND SEWER COMMISSION (MWRA),4,116,False,False,,,0,10.5,False
MA3046000,BROOKLINE WATER AND SEWER DIVISION,4,116,False,False,,,0,10.5,False
MA3048000,BURLINGTON WATER DEPT,9,232,True,False,,,1,10.5,False
MA3049000,CAMBRIDGE WATER DEPARTMENT,4,116,True,True,4.8,,3,13.3,False
MA3056000,CHELMSFORD WATER DISTRICT,10,232,True,True,8.9,7.2,5,22.6,True
MA3056002,NORTH CHELMSFORD WATER DIST,2,58,False,False,,,0,10.5,False
MA3057000,CHELSEA WATER DEPT. (MWRA),5,116,False,False,,,0,10.5,False
MA3067000,"CONCORD WATER DEPT, MA",12,319,True,True,6.0,,4,14.5,False
MA3071000,DANVERS WATER DEPT.,8,145,True,True,,5.2,1,13.7,False
MA3073000,DEDHAM WESTWOOD WATER DIST.,8,232,True,True,6.5,5.1000000000000005,4,18.0,False
MA3079000,DRACUT WATER SUPPLY DISTRICT,8,232,True,True,6.1000000000000005,,3,14.600000000000001,False
MA3079001,KENWOOD WATER DISTRICT,8,232,True,True,6.3,,4,14.8,False
MA3093000,EVERETT WATER DEPT. (MWRA),4,116,False,False,,,0,10.5,False
MA3100000,FRAMINGHAM WATER DEPT. (MWRA),5,116,False,False,,,0,10.5,False
MA3105000,GEORGETOWN WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA3107000,GLOUCESTER PUBLIC UTILITY DIVISION,8,232,False,False,,,0,10.5,False
MA3116000,GROVELAND WATER DEPARTMENT,4,116,True,True,6.3,,4,14.8,False
